customer_id,age,gender,income_annual,employment_years,employment_status,credit_score,num_credit_accounts,num_hard_inquiries,late_payments_2yr,debt_existing,loan_amount,loan_purpose,loan_term_months,interest_rate,loan_grade,home_ownership,state,application_date,defaulted
FIN-000001,65,Female,101254.0,16,Self-Employed,622.0,2,6,7,44099,39494,Education,12,16.17,A,Mortgage,FL,2020-01-01,0
FIN-000002,25,Male,121892.0,28,Self-Employed,787.0,11,2,5,7539,59222,Medical,60,6.15,E,Own,PA,2020-01-01,0
FIN-000003,35,Male,76235.0,33,Unemployed,338.0,6,4,6,44379,45985,Vacation,24,17.28,A,Mortgage,TX,2020-01-01,1
FIN-000004,46,Female,55304.0,29,Retired,804.0,7,0,2,34806,40416,Car,36,5.77,C,Rent,NY,2020-01-02,0
FIN-000005,44,Male,42172.0,30,Employed,802.0,7,2,0,22310,50600,Education,12,16.53,F,Rent,PA,2020-01-02,0
FIN-000006,39,Male,93834.0,21,Self-Employed,836.0,1,3,5,8223,14453,Education,48,27.18,C,Rent,CA,2020-01-02,0
FIN-000007,40,Female,105731.0,24,Employed,615.0,8,7,1,10160,32921,Medical,48,11.72,A,Own,OH,2020-01-03,0
FIN-000008,63,Female,64857.0,3,Unemployed,795.0,9,0,5,19358,71469,Business,48,21.5,B,Own,TX,2020-01-03,0
FIN-000009,29,Female,161483.0,34,Self-Employed,416.0,7,0,2,31339,71586,Business,48,22.02,C,Rent,GA,2020-01-03,1
FIN-000010,48,Male,27825.0,8,Unemployed,641.0,8,5,1,11522,30392,Education,48,14.01,D,Rent,IL,2020-01-04,0
FIN-000011,36,Male,116774.0,25,Employed,539.0,4,7,3,36336,37177,Education,12,18.44,C,Own,OH,2020-01-04,1
FIN-000012,31,Female,189814.0,26,Employed,744.0,8,7,5,27501,60182,Vacation,24,15.59,A,Rent,GA,2020-01-04,0
FIN-000013,54,Male,,26,Employed,786.0,3,6,2,28014,63081,Car,24,11.16,A,Mortgage,NY,2020-01-05,0
FIN-000014,45,Male,174412.0,17,Employed,710.0,1,5,5,44082,16106,Medical,48,22.24,B,Mortgage,PA,2020-01-05,0
FIN-000015,60,Female,47151.0,29,Employed,597.0,8,2,5,8298,57754,Medical,24,21.02,D,Rent,NC,2020-01-05,0
