customer_id,age,gender,income_annual,employment_years,employment_status,credit_score,num_credit_accounts,num_hard_inquiries,late_payments_2yr,debt_existing,loan_amount,loan_purpose,loan_term_months,interest_rate,loan_grade,home_ownership,state,application_date,defaulted,debt_to_income,monthly_payment,payment_to_income,total_debt_ratio,interest_cost_total,risk_per_year,credit_tier,income_tier,loan_size
FIN-000001,65,Female,101254.0,16,Self-Employed,622.0,2,6,7,44099,39494,Education,12,16.17,A,Mortgage,FL,2020-01-01,0,0.39,3291.17,0.39,0.8256,6386.18,3.5,Fair,Upper-Mid,Very Large
FIN-000002,25,Male,121892.0,28,Self-Employed,787.0,11,2,5,7539,59222,Medical,60,6.15,E,Own,PA,2020-01-01,0,0.4859,987.03,0.0972,0.5477,18210.77,2.5,Excellent,Upper-Mid,Very Large
FIN-000003,35,Male,76235.0,33,Unemployed,338.0,6,4,6,44379,45985,Vacation,24,17.28,A,Mortgage,TX,2020-01-01,1,0.6032,1916.04,0.3016,1.1853,15892.42,3.0,Very Poor,Mid,Very Large
FIN-000004,46,Female,55304.0,29,Retired,804.0,7,0,2,34806,40416,Car,36,5.77,C,Rent,NY,2020-01-02,0,0.7308,1122.67,0.2436,1.3602,6996.01,1.0,Excellent,Lower-Mid,Very Large
FIN-000005,44,Male,42172.0,30,Employed,802.0,7,2,0,22310,50600,Education,12,16.53,F,Rent,PA,2020-01-02,0,1.1998,4216.67,1.1998,1.7289,8364.18,0.0,Excellent,Lower-Mid,Very Large
FIN-000006,39,Male,93834.0,21,Self-Employed,836.0,1,3,5,8223,14453,Education,48,27.18,C,Rent,CA,2020-01-02,0,0.154,301.1,0.0385,0.2417,15713.3,2.5,Excellent,Mid,Medium
FIN-000007,40,Female,105731.0,24,Employed,615.0,8,7,1,10160,32921,Medical,48,11.72,A,Own,OH,2020-01-03,0,0.3114,685.85,0.0778,0.4075,15433.36,0.5,Fair,Upper-Mid,Very Large
FIN-000008,63,Female,64857.0,3,Unemployed,795.0,9,0,5,19358,71469,Business,48,21.5,B,Own,TX,2020-01-03,0,1.1019,1488.94,0.2755,1.4004,61463.34,2.5,Excellent,Mid,Very Large
FIN-000009,29,Female,161483.0,34,Self-Employed,416.0,7,0,2,31339,71586,Business,48,22.02,C,Rent,GA,2020-01-03,1,0.4433,1491.38,0.1108,0.6374,63052.95,1.0,Very Poor,Upper-Mid,Very Large
FIN-000010,48,Male,27825.0,8,Unemployed,641.0,8,5,1,11522,30392,Education,48,14.01,D,Rent,IL,2020-01-04,0,1.0923,633.17,0.2731,1.5063,17031.68,0.5,Fair,Low,Very Large
FIN-000011,36,Male,116774.0,25,Employed,539.0,4,7,3,36336,37177,Education,12,18.44,C,Own,OH,2020-01-04,1,0.3184,3098.08,0.3184,0.6295,6855.44,1.5,Very Poor,Upper-Mid,Very Large
FIN-000012,31,Female,189814.0,26,Employed,744.0,8,7,5,27501,60182,Vacation,24,15.59,A,Rent,GA,2020-01-04,0,0.3171,2507.58,0.1585,0.4619,18764.75,2.5,Very Good,Upper-Mid,Very Large
FIN-000014,45,Male,174412.0,17,Employed,710.0,1,5,5,44082,16106,Medical,48,22.24,B,Mortgage,PA,2020-01-05,0,0.0923,335.54,0.0231,0.3451,14327.9,2.5,Very Good,Upper-Mid,Large
FIN-000015,60,Female,47151.0,29,Employed,597.0,8,2,5,8298,57754,Medical,24,21.02,D,Rent,NC,2020-01-05,0,1.2249,2406.42,0.6124,1.4009,24279.78,2.5,Fair,Lower-Mid,Very Large
FIN-000016,41,Male,63327.0,30,Retired,351.0,11,5,2,201,11878,Home Improvement,36,25.66,C,Rent,FL,2020-01-06,1,0.1876,329.94,0.0625,0.1907,9143.68,1.0,Very Poor,Mid,Medium
FIN-000017,25,Male,160324.0,2,Employed,603.0,6,7,1,7956,5792,Medical,24,19.03,A,Mortgage,MI,2020-01-06,0,0.0361,241.33,0.0181,0.0858,2204.44,0.5,Fair,Upper-Mid,Medium
FIN-000018,31,Male,55314.0,28,Employed,587.0,9,2,0,7385,16367,Car,60,13.63,D,Rent,OH,2020-01-06,0,0.2959,272.78,0.0592,0.4294,11154.11,0.0,Fair,Lower-Mid,Large
FIN-000019,63,Female,67368.0,6,Unemployed,417.0,3,1,6,6007,43731,Education,48,21.28,C,Rent,CA,2020-01-07,1,0.6491,911.06,0.1623,0.7383,37223.83,3.0,Very Poor,Mid,Very Large
FIN-000020,29,Male,81110.0,17,Unemployed,723.0,8,6,5,34562,14547,Vacation,60,19.05,E,Mortgage,OH,2020-01-07,0,0.1793,242.45,0.0359,0.6055,13856.02,2.5,Very Good,Mid,Medium
FIN-000021,31,Male,148667.0,15,Employed,508.0,9,1,4,1408,33568,Home Improvement,60,18.99,B,Rent,NC,2020-01-07,1,0.2258,559.47,0.0452,0.2353,31872.82,2.0,Very Poor,Upper-Mid,Very Large
FIN-000022,57,Male,152744.0,31,Employed,426.0,9,4,3,916,67907,Vacation,48,24.47,C,Own,MI,2020-01-08,1,0.4446,1414.73,0.1111,0.4506,66467.37,1.5,Very Poor,Upper-Mid,Very Large
FIN-000023,61,Female,35322.0,24,Employed,592.0,7,6,2,7778,55212,Vacation,72,25.9,B,Own,GA,2020-01-08,0,1.5631,766.83,0.2605,1.7833,85799.45,1.0,Fair,Lower-Mid,Very Large
FIN-000024,21,Female,162263.0,31,Employed,818.0,11,0,5,42644,47331,Education,12,8.74,D,Mortgage,FL,2020-01-08,0,0.2917,3944.25,0.2917,0.5545,4136.73,2.5,Excellent,Upper-Mid,Very Large
FIN-000025,46,Male,188153.0,18,Self-Employed,521.0,10,1,6,47208,69379,Medical,72,11.88,D,Mortgage,NY,2020-01-09,1,0.3687,963.6,0.0615,0.6196,49453.35,3.0,Very Poor,Upper-Mid,Very Large
FIN-000027,60,Male,81625.0,34,Self-Employed,637.0,3,5,2,48637,52112,Education,72,17.59,B,Mortgage,CA,2020-01-09,0,0.6384,723.78,0.1064,1.2343,54999.0,1.0,Fair,Mid,Very Large
FIN-000028,39,Male,75504.0,28,Unemployed,574.0,2,5,7,35934,78229,Business,36,19.83,C,Rent,GA,2020-01-10,0,1.0361,2173.03,0.3454,1.512,46538.43,3.5,Fair,Mid,Very Large
FIN-000029,36,Female,195666.0,10,Unemployed,416.0,1,0,5,40112,16394,Medical,72,14.68,B,Mortgage,CA,2020-01-10,1,0.0838,227.69,0.014,0.2888,14439.84,2.5,Very Poor,Upper-Mid,Large
FIN-000030,65,Female,77631.0,5,Retired,591.0,2,6,3,16448,44095,Business,72,14.19,D,Mortgage,OH,2020-01-10,0,0.568,612.43,0.0947,0.7799,37542.48,1.5,Fair,Mid,Very Large
FIN-000032,61,Female,124583.0,26,Employed,746.0,1,1,2,14715,51132,Business,36,19.16,A,Own,MI,2020-01-11,0,0.4104,1420.33,0.1368,0.5285,29390.67,1.0,Very Good,Upper-Mid,Very Large
FIN-000033,24,Male,22967.0,4,Employed,456.0,10,4,5,39166,70064,Medical,72,8.63,A,Mortgage,GA,2020-01-11,1,3.0506,973.11,0.5084,4.756,36279.14,2.5,Very Poor,Low,Very Large
FIN-000034,34,Other,57018.0,25,Employed,483.0,4,7,1,34783,60121,Home Improvement,48,20.27,B,Own,PA,2020-01-12,1,1.0544,1252.52,0.2636,1.6645,48746.11,0.5,Very Poor,Lower-Mid,Very Large
FIN-000035,50,Female,175867.0,34,Self-Employed,723.0,11,4,0,25897,20205,Business,24,27.23,A,Mortgage,IL,2020-01-12,0,0.1149,841.88,0.0574,0.2621,11003.64,0.0,Very Good,Upper-Mid,Large
FIN-000036,27,Other,88774.0,18,Self-Employed,315.0,10,4,4,48708,9628,Debt Consolidation,72,10.53,A,Mortgage,NC,2020-01-12,1,0.1085,133.72,0.0181,0.6571,6082.97,2.0,Very Poor,Mid,Medium
FIN-000037,32,Male,159585.0,16,Employed,397.0,10,4,2,36792,57600,Vacation,12,7.84,B,Own,FL,2020-01-13,1,0.3609,4800.0,0.3609,0.5915,4515.84,1.0,Very Poor,Upper-Mid,Very Large
FIN-000038,44,Male,88274.0,34,Unemployed,599.0,1,5,5,22698,43095,Debt Consolidation,48,5.07,A,Own,OH,2020-01-13,0,0.4882,897.81,0.122,0.7453,8739.67,2.5,Fair,Mid,Very Large
FIN-000039,59,Female,90472.0,12,Employed,721.0,10,7,4,41572,63844,Debt Consolidation,12,13.4,D,Own,PA,2020-01-13,0,0.7057,5320.33,0.7057,1.1652,8555.1,2.0,Very Good,Mid,Very Large
FIN-000040,63,Female,54604.0,13,Retired,606.0,8,5,1,8843,52049,Business,60,9.54,A,Mortgage,MI,2020-01-14,0,0.9532,867.48,0.1906,1.1152,24827.37,0.5,Fair,Lower-Mid,Very Large
FIN-000041,42,Female,87104.0,29,Employed,573.0,5,5,2,45773,26433,Car,72,16.06,E,Own,PA,2020-01-14,0,0.3035,367.12,0.0506,0.829,25470.84,1.0,Fair,Mid,Large
FIN-000042,67,Male,128818.0,16,Employed,560.0,10,6,7,31551,17093,Debt Consolidation,24,16.82,E,Mortgage,IL,2020-01-14,0,0.1327,712.21,0.0663,0.3776,5750.09,3.5,Fair,Upper-Mid,Large
FIN-000043,50,Female,116396.0,14,Employed,538.0,4,7,4,34155,21684,Education,24,12.71,B,Rent,TX,2020-01-15,1,0.1863,903.5,0.0931,0.4797,5512.07,2.0,Very Poor,Upper-Mid,Large
FIN-000044,59,Female,197887.0,17,Employed,631.0,3,2,2,27442,65321,Vacation,48,22.12,A,Own,FL,2020-01-15,0,0.3301,1360.85,0.0825,0.4688,57796.02,1.0,Fair,Upper-Mid,Very Large
FIN-000045,40,Female,24720.0,13,Employed,414.0,9,4,7,26696,56305,Car,48,25.76,A,Mortgage,CA,2020-01-15,1,2.2777,1173.02,0.5694,3.3576,58016.67,3.5,Very Poor,Low,Very Large
FIN-000046,46,Male,60725.0,13,Self-Employed,567.0,6,7,2,21563,67025,Medical,48,9.47,C,Rent,NC,2020-01-16,0,1.1037,1396.35,0.2759,1.4588,25389.07,1.0,Fair,Mid,Very Large
FIN-000047,69,Female,63923.0,32,Employed,311.0,1,3,4,22982,19907,Home Improvement,24,24.15,C,Rent,NC,2020-01-16,1,0.3114,829.46,0.1557,0.6709,9615.08,2.0,Very Poor,Mid,Large
FIN-000048,25,Female,59293.0,10,Unemployed,372.0,8,5,2,22863,59057,Car,72,7.58,B,Mortgage,GA,2020-01-16,0,0.996,820.24,0.166,1.3816,26859.12,1.0,Very Poor,Lower-Mid,Very Large
FIN-000049,60,Male,50029.0,10,Employed,705.0,10,4,1,4763,17921,Vacation,60,9.87,B,Mortgage,FL,2020-01-17,0,0.3582,298.68,0.0716,0.4534,8844.01,0.5,Very Good,Lower-Mid,Large
