order_id,customer_id,customer_name,region,product,category,quantity,unit_price,discount_pct,order_date,ship_date,sales_rep,channel,returned,customer_rating,ship_days,revenue,month,quarter
ORD-00001,CUST-052,JetStream,North,Headphones,Accessories,13,149.99,0.0,2022-01-01,2022-01-03,Carol White,Direct Sales,False,5.0,2,1949.8700000000001,2022-01,2022Q1
ORD-00002,CUST-093,CloudNine,South,Tablet Max,Wearables,13,399.99,10.0,2022-01-02,2022-01-07,Bob Smith,Partner,False,5.0,5,4679.883,2022-01,2022Q1
ORD-00003,CUST-015,EagleEye,Unknown,Tablet Max,Mobile,2,999.99,15.0,2022-01-03,2022-01-05,Dave Brown,Partner,False,5.0,2,1699.983,2022-01,2022Q1
ORD-00004,CUST-072,FusionWorks,West,Smartphone SE,Mobile,2,1299.99,0.0,2022-01-04,2022-01-07,Eve Davis,In-Store,False,3.0,3,2599.98,2022-01,2022Q1
ORD-00005,CUST-061,InnovateCo,North,Tablet Mini,Computers,13,1299.99,20.0,2022-01-05,2022-01-08,Carol White,Direct Sales,False,5.0,3,13519.896,2022-01,2022Q1
ORD-00006,CUST-021,EagleEye,West,Smartphone X,Accessories,5,299.99,0.0,2022-01-06,2022-01-10,Eve Davis,Direct Sales,False,,4,1499.95,2022-01,2022Q1
ORD-00007,CUST-083,Acme Corp,West,Monitor,Mobile,4,599.99,10.0,2022-01-07,2022-01-13,Carol White,Partner,False,5.0,6,2159.964,2022-01,2022Q1
ORD-00008,CUST-087,DeltaLogic,West,Tablet Max,Accessories,11,149.99,5.0,2022-01-08,2022-01-10,Eve Davis,Direct Sales,False,4.0,2,1567.3955,2022-01,2022Q1
ORD-00009,CUST-075,EagleEye,West,Smartphone X,Mobile,2,299.99,15.0,2022-01-09,2022-01-13,Dave Brown,Direct Sales,False,4.0,4,509.983,2022-01,2022Q1
ORD-00010,CUST-075,JetStream,West,Laptop Pro,Wearables,3,999.99,5.0,2022-01-10,2022-01-12,Bob Smith,Direct Sales,False,5.0,2,2849.9715,2022-01,2022Q1
ORD-00011,CUST-088,JetStream,North,Keyboard,Wearables,7,299.99,20.0,2022-01-11,2022-01-15,Dave Brown,In-Store,True,4.0,4,1679.9440000000004,2022-01,2022Q1
ORD-00012,CUST-100,EagleEye,North,Tablet Mini,Mobile,8,599.99,15.0,2022-01-12,2022-01-15,Alice Johnson,Direct Sales,False,2.0,3,4079.932,2022-01,2022Q1
ORD-00013,CUST-024,GlobalEdge,East,Laptop Lite,Wearables,12,399.99,10.0,2022-01-13,2022-01-18,Bob Smith,Online,False,4.0,5,4319.892,2022-01,2022Q1
